language,package,module,source,line,local_version,status,lock_status
R,fgsea,fgsea,analysis/historical_selection/validate_TNFSF12_signature_reciprocity.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,utils,utils,plotting/recorded_closeout/csv_io.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,jsonlite,jsonlite,plotting/recorded_closeout/plot_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,grDevices,grDevices,plotting/recorded_closeout/plot_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,cowplot,cowplot,plotting/recorded_closeout/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,jsonlite,jsonlite,plotting/recorded_closeout/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggplot2,ggplot2,plotting/recorded_closeout/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,tidyr,tidyr,plotting/recorded_closeout/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,dplyr,dplyr,plotting/recorded_closeout/plot_organoid_supplement.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,tidyr,tidyr,plotting/recorded_closeout/plot_supplement_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,cowplot,cowplot,plotting/recorded_closeout/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,grDevices,grDevices,plotting/recorded_closeout/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggplot2,ggplot2,plotting/recorded_closeout/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,tidyr,tidyr,plotting/recorded_closeout/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggrepel,ggrepel,plotting/recorded_closeout/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,dplyr,dplyr,plotting/recorded_closeout/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,tools,tools,plotting/recorded_closeout/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
Python,requests,requests,data_prep/organoid_counts/acquire_metadata.py,4,2.31.0,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
R,Matrix,Matrix,analysis/organoid/analyze_organoid.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,DESeq2,DESeq2,analysis/organoid/analyze_organoid.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,jsonlite,jsonlite,analysis/organoid/analyze_organoid.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
